CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"473,623,456,170",CHICAGO PD,Chicago,"576,203,751,815",4,16A-3(a),15600,51,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"473,662,441,457",HILLSIDE PD,Hillside,"576,269,093,562",4,16A-3(a),15600,44,Male,Black,Retail Theft,Carol A Kipperman,District 4 - Maywood,Maywood Courthouse,0
"473,663,051,555",STICKNEY PD,Berwyn,"576,269,994,263",4,16A-3(a),15600,42,Male,White,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"473,688,065,588",EVANSTON PD,Evanston,"576,288,908,979",4,16A-3(a),15600,34,Female,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,1
"473,688,553,667",EVANSTON PD,Evanston,"576,278,509,979",3,16A-3(a),15601,21,Male,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"473,718,875,556",STICKNEY PD,Stickney,"577,210,243,991",4,16A-3(a),15600,26,Male,White,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,1
"473,737,361,537",CHICAGO PD,Chicago,"576,695,043,147",4,16A-3(a),15600,47,Male,Black,Retail Theft,Neil J Linehan,District 5 - Bridgeview,Bridgeview Courthouse,0
"473,739,557,891",CHICAGO PD,Chicago,"576,715,431,738",3,16A-3(a),15601,24,Male,Black,Retail Theft,Carol M Howard,District 1 - Chicago,26TH Street,0
"473,742,730,403",CHICAGO PD,Chicago,"576,334,353,428",3,16A-3(a),15601,31,Female,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"473,751,149,760",DES PLAINES PD,Des Plaines,"577,770,070,465",3,16A-3(a),15601,47,Male,Black,Retail Theft,Timothy J Chambers,District 2 - Skokie,Skokie Courthouse,0
"473,786,535,466",CHICAGO PD,Chicago,"577,269,035,188",4,16A-3(f),15615,54,Male,White,Retail Theft,Nicholas R Ford,District 1 - Chicago,26TH Street,0
"473,797,761,276",MOUNT PROSPECT PD,Mount Prospect,"576,441,045,529",3,16A-3(a),15601,47,Male,Black,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"473,799,835,611",CHICAGO PD,Chicago,"576,441,291,174",3,16A-3(a),15601,34,Male,White,Retail Theft,Evelyn B Clay,District 1 - Chicago,26TH Street,0
"473,836,624,543",CHICAGO PD,Chicago,"576,529,559,850",4,16A-3(a),15600,28,Male,Black,Retail Theft,Charles P Burns,District 1 - Chicago,26TH Street,0
"473,838,210,798",BRIDGEVIEW PD,Bridgeview,"577,367,948,509",4,16A-3(a),15600,29,Male,White,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"473,843,762,694",CHICAGO PD,Chicago,"576,531,361,252",4,16A-3(a),15600,48,Male,Black,Retail Theft,Mary Margaret Brosnahan,District 1 - Chicago,26TH Street,0
"473,855,842,641",CHICAGO PD,Chicago,"576,545,281,173",4,16A-3(a),15600,30,Male,Black,Retail Theft,Lawrence Edward Flood,District 1 - Chicago,26TH Street,0
"473,869,752,884",CHICAGO PD,Chicago,"577,248,319,070",4,16A-3(a),15600,50,Male,Black,Retail Theft,Evelyn B Clay,District 1 - Chicago,26TH Street,0
"473,881,344,754",CHICAGO PD,Chicago,"576,862,164,082",3,16A-3(a),15601,38,Male,White,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"473,893,790,760",CHICAGO PD,Chicago,"576,606,774,471",3,16A-3(b),15604,38,Male,Black,Retail Theft,Arthur F Hill,District 1 - Chicago,26TH Street,0
"473,927,712,230",NORTHLAKE PD,Northlake,"576,668,840,943",4,16A-3(a),15600,41,Male,Black,Retail Theft,Noreen Valeria Love,District 4 - Maywood,Maywood Courthouse,0
"473,945,405,083",SCHAUMBURG PD,Schaumburg,"576,735,165,273",4,16A-3(a),15600,25,Female,Black,Retail Theft,Kay M Hanlon,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"473,953,275,352",CHICAGO PD,Chicago,"576,693,405,510",4,16A-3(a),15600,38,Male,White,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"473,963,952,074",CHICAGO PD,Chicago,"576,716,905,612",4,16A-3(a),15600,64,Male,Black,Retail Theft,Matthew E Coghlan,District 1 - Chicago,26TH Street,0
"473,971,090,224",CHICAGO PD,Chicago,"576,723,947,454",4,16A-3(a),15600,26,Male,Black,Retail Theft,Stanley  Sacks,District 1 - Chicago,26TH Street,0
"473,990,369,333",CHICAGO PD,Chicago,"576,728,614,722",3,16A-3(a),15601,49,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"473,991,589,530",SAUK VILLAGE PD,Tinley Park,"577,468,826,996",4,16A-3(a),15600,39,Female,White,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,1
"473,992,382,658",CHICAGO PD,Chicago,"576,729,024,131",3,16A-3(a),15601,45,Female,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"474,001,595,143",CHICAGO PD,Chicago,"576,731,562,470",4,16A-3(a),15600,45,Male,Black,Retail Theft,Thomas M Davy,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,002,266,251",NILES PD,Niles,"576,731,644,352",4,16A-3(f),15615,34,Male,White,Retail Theft,Larry G Axelrood,District 2 - Skokie,Skokie Courthouse,0
"474,002,998,370",CHICAGO PD,Chicago,"577,151,534,677",4,16A-3(a),15600,57,Male,Black,Retail Theft,William J Kunkle,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,014,468,219",CHICAGO PD,Chicago,"576,749,822,131",4,16A-3(a),15600,57,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"474,022,765,557",CRESTWOOD PD,Crestwood,"577,855,800,802",4,16A-3(a),15600,33,Male,White,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,1
