CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"485,444,051,176",CHICAGO PD,Chicago,"593,646,968,693",4,16-25(a)(1),16720,55,Female,Black,Retail Theft,Thaddeus L Wilson,District 1 - Chicago,26TH Street,0
"485,444,234,206",CHICAGO PD,Chicago,"593,647,050,575",3,16-25(a)(1),16722,42,Male,Black,Retail Theft,Clayton Jay Crane,District 1 - Chicago,26TH Street,0
"485,447,467,727",MATTESON PD,Matteson,"593,648,115,039",4,16-25(a)(1),16720,34,Female,Black,Retail Theft,Darron Edward Bowden,District 6 - Markham,Markham Courthouse,0
"485,487,429,171",NORTH RIVERSIDE PD,North Riverside,"593,698,062,991",4,16-25(a)(1),16720,51,Female,Black,Retail Theft,Paula M Daleo,District 4 - Maywood,Maywood Courthouse,0
"485,493,286,115",SKOKIE PD,Skokie,"593,700,028,157",3,16-25(a)(1),16722,20,Female,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"485,494,994,390",CHICAGO PD,Chicago,"593,700,437,566",4,16-25(a)(1),16720,31,Male,White,Retail Theft,Joseph Michael Claps,District 1 - Chicago,26TH Street,0
"485,500,790,325",EVERGREEN PARK PD,Evergreen Park,"593,701,829,558",3,16-25(a)(1),16722,22,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"485,503,047,689",SCHAUMBURG PD,Schaumburg,"593,702,730,259",4,16-25(a)(1),16720,39,Male,Black,Retail Theft,ELLEN  MANDELTORT,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"485,516,591,873",CHICAGO PD,Chicago,"594,446,954,746",4,16-25(a)(1),16720,58,Male,Black,Retail Theft,Michael  Brown,District 1 - Chicago,26TH Street,0
"485,516,957,932",CHICAGO PD,Chicago,"593,750,713,046",4,16-25(a)(1),16720,42,Female,Black,Retail Theft,Neil J Linehan,District 5 - Bridgeview,Bridgeview Courthouse,0
"485,517,262,981",WESTCHESTER PD,Westchester,"593,705,514,243",4,16-25(a)(1),16720,47,Female,Black,Retail Theft,Gregory Robert Ginex,District 4 - Maywood,Maywood Courthouse,0
"485,539,409,552",MATTESON PD,Chicago,"593,724,674,605",4,16-25(a)(1),16720,17,Male,Black,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"485,550,269,303",CHICAGO PD,Chicago,"593,750,794,928",3,16-25(a)(1),16722,43,Female,White,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"485,551,916,569",OAK LAWN PD,Oak Lawn,"593,751,204,337",4,16-25(a)(1),16720,54,Male,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"485,551,916,569",OAK LAWN PD,Oak Lawn,"594,999,411,849",3,16-25(a)(1),16722,54,Male,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,1
"485,558,688,661",CHICAGO PD,Chicago,"593,808,030,368",4,16-25(a)(1),16720,26,Female,White,Retail Theft,Thomas M Davy,District 5 - Bridgeview,Bridgeview Courthouse,0
"485,585,777,029",CHICAGO PD,Chicago,"593,825,061,801",4,16-25(a)(1),16720,46,Male,Black,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"485,595,233,554",CHICAGO PD,Chicago,"593,825,307,447",4,16-25(a)(1),16720,39,Female,Black,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"485,596,331,731",NILES PD,Niles,"593,825,471,210",4,16-25(a)(1),16720,23,Male,White,Retail Theft,Lauren Gottainer Edidin,District 2 - Skokie,Skokie Courthouse,0
